cord	ot	do	mw	podpomagane	dostavchik	podni
0	291211	300112	858	няма	EON	104,182,182,182,182,26
0	310112	280212	938	няма	EON	192,226,228,227,65
0	290212	290312	586	няма	EON	99,136,137,136,78
0	300312	260412	776	няма	EON	84,196,194,192,110
0	270412	300512	481	няма	EON	42,98,98,98,102,43
0	310512	010712	249	няма	EON	32,56,56,53,52
0	020712	300712	386	няма	EON	91,93,94,95,13
0	310712	300812	377	няма	EON	72,84,84,87,50
0	310812	270912	343	няма	Енерго-Про Продажби	36,84,86,87,50
0	280912	301012	382	няма	Енерго-Про Продажби	36,82,80,81,80,23
0	311012	291112	548	няма	Енерго-Про Продажби	90,126,129,129,74
1	291211	300112	863	няма	EON	104,182,182,183,186,26
1	310112	280212	802	няма	EON	168,194,193,192,55
1	290212	290312	489	няма	EON	80,112,116,115,66
1	300312	260412	753	няма	EON	81,189,189,188,106
1	270412	300512	404	няма	EON	36,84,84,84,82,34
1	310512	010712	252	няма	EON	32,56,56,56,52
1	020712	300712	340	няма	EON	84,84,80,81,11
1	310712	300812	441	няма	EON	84,98,100,101,58
1	310812	270912	378	няма	Енерго-Про Продажби	41,94,95,94,54
1	280912	301012	554	няма	Енерго-Про Продажби	51,119,119,117,115,33
1	311012	291112	544	няма	Енерго-Про Продажби	90,126,126,128,74
2	291211	300112	770	няма	EON	92,161,165,164,165,23
2	310112	280212	805	няма	EON	168,196,194,192,55
2	290212	290312	556	няма	EON	94,129,130,129,74
2	300312	260412	775	няма	EON	84,196,193,192,110
2	270412	300512	431	няма	EON	39,91,89,87,88,37
2	310512	010712	263	няма	EON	32,56,56,60,59
2	020712	300712	373	няма	EON	91,91,91,88,12
2	310712	300812	431	няма	EON	84,98,98,97,54
2	310812	270912	358	няма	Енерго-Про Продажби	39,91,91,87,50
2	280912	301012	488	няма	Енерго-Про Продажби	45,105,105,103,101,29
2	311012	291112	592	няма	Енерго-Про Продажби	100,140,138,136,78
3	291211	300112	972	няма	EON	117,206,207,206,207,29
3	310112	280212	940	няма	EON	193,227,228,227,65
3	290212	290312	576	няма	EON	95,133,134,136,78
3	300312	260412	747	няма	EON	81,189,186,185,106
3	270412	300512	439	няма	EON	39,91,91,91,90,37
3	310512	010712	244	няма	EON	32,55,52,53,52
3	020712	300712	349	няма	EON	84,84,84,85,12
3	310712	300812	402	няма	EON	78,91,91,91,51
3	310812	270912	374	няма	Енерго-Про Продажби	39,92,95,94,54
3	280912	301012	490	няма	Енерго-Про Продажби	45,105,105,105,101,29
3	311012	291112	601	няма	Енерго-Про Продажби	100,140,140,140,81
4	291211	300112	1003	няма	EON	120,212,214,213,214,30
4	310112	280212	949	няма	EON	198,231,228,227,65
4	290212	290312	619	няма	EON	105,145,144,143,82
4	300312	260412	633	няма	EON	69,159,158,157,90
4	270412	300512	470	няма	EON	42,98,98,97,95,40
4	310512	010712	244	няма	EON	32,55,52,53,52
4	020712	300712	258	няма	EON	63,63,63,61,8
4	310712	300812	465	няма	EON	90,105,105,105,60
4	310812	270912	377	няма	Енерго-Про Продажби	40,94,95,94,54
4	280912	301012	505	няма	Енерго-Про Продажби	45,105,107,109,108,31
4	311012	291112	597	няма	Енерго-Про Продажби	100,140,140,139,78
5	291211	300112	812	няма	EON	100,173,172,171,172,24
5	310112	280212	784	няма	EON	162,189,189,189,55
5	290212	290312	563	няма	EON	95,133,132,129,74
5	300312	260412	560	няма	EON	60,140,140,140,80
5	270412	300512	445	няма	EON	39,91,91,91,93,40
5	310512	010712	228	няма	EON	28,49,49,50,52
5	020712	300712	275	няма	EON	66,67,66,67,9
5	310712	300812	398	няма	EON	78,91,91,88,50
5	310812	270912	289	няма	Енерго-Про Продажби	30,70,74,73,42
5	280912	301012	463	няма	Енерго-Про Продажби	42,98,98,98,98,29
5	311012	291112	463	няма	Енерго-Про Продажби	76,108,109,108,62
6	291211	300112	754	няма	EON	92,161,161,160,158,22
6	310112	280212	833	няма	EON	174,203,200,199,57
6	290212	290312	582	няма	EON	95,136,137,136,78
6	300312	260412	735	няма	EON	78,182,184,185,106
6	270412	300512	472	няма	EON	42,98,98,98,96,40
6	310512	010712	225	няма	EON	28,49,49,49,50
6	020712	300712	351	няма	EON	84,84,84,87,12
6	310712	300812	424	няма	EON	84,97,95,94,54
