firma	bulstat	fobshtina	fgrad	vei	vobshtina	vgrad	moshtnost	vavejdane	podpomagane	mw	code	dostavchik
”УП България 1” ЕООД	200310951	Столична	София	ВтЕЦ ”Камен бряг Север - 1”	Каварна	с. Камен бряг	3.0	8/26/2009	няма	858	УП0101ВЕ0000/ЕЛ/291211/300112/000858	Е. ОН  България Продажби АД
”УП България 1” ЕООД	200310951	Столична	София	ВтЕЦ ”Камен бряг Север - 1”	Каварна	с. Камен бряг	3.0	8/26/2009	няма	938	УП0101ВЕ0000/ЕЛ/300112/280212/000938	Е. ОН  България Продажби АД
”УП България 1” ЕООД	200310951	Столична	София	ВтЕЦ ”Камен бряг Север - 1”	Каварна	с. Камен бряг	3.0	8/26/2009	няма	586	УП0101ВЕ0000/ЕЛ/280212/290312/000586	Е. ОН  България Продажби АД
”УП България 1” ЕООД	200310951	Столична	София	ВтЕЦ ”Камен бряг Север - 1”	Каварна	с. Камен бряг	3.0	8/26/2009	няма	776	УП0101ВЕ0000/ЕЛ/290312/260412/000776	Е. ОН  България Продажби АД
”УП България 1” ЕООД	200310951	Столична	София	ВтЕЦ ”Камен бряг Север - 1”	Каварна	с. Камен бряг	3.0	8/26/2009	няма	481	УП0101ВЕ0000/ЕЛ/260412/300512/000481	Е. ОН  България Продажби АД
”УП България 1” ЕООД	200310951	Столична	София	ВтЕЦ ”Камен бряг Север - 1”	Каварна	с. Камен бряг	3.0	8/26/2009	няма	249	УП0101ВЕ0000/ЕЛ/300512/010712/000249	Е. ОН  България Продажби АД
”УП България 1” ЕООД	200310951	Столична	София	ВтЕЦ ”Камен бряг Север - 1”	Каварна	с. Камен бряг	3.0	8/26/2009	няма	386	УП0101ВЕ0000/ЕЛ/010712/300712/000386	Е. ОН  България Продажби АД
”УП България 1” ЕООД	200310951	Столична	София	ВтЕЦ ”Камен бряг Север - 1”	Каварна	с. Камен бряг	3.0	8/26/2009	няма	377	УП0101ВЕ0000/ЕЛ/300712/300812/000377	Е. ОН  България Продажби АД
”УП България 1” ЕООД	200310951	Столична	София	ВтЕЦ ”Камен бряг Север - 1”	Каварна	с. Камен бряг	3.0	8/26/2009	няма	343	УП0101ВЕ0000/ЕЛ/300812/270912/000343	Енерго-Про Продажби АД
”УП България 1” ЕООД	200310951	Столична	София	ВтЕЦ ”Камен бряг Север - 1”	Каварна	с. Камен бряг	3.0	8/26/2009	няма	382	УП0101ВЕ0000/ЕЛ/270912/301012/000382	Енерго-Про Продажби АД
”УП България 1” ЕООД	200310951	Столична	София	ВтЕЦ ”Камен бряг Север - 1”	Каварна	с. Камен бряг	3.0	8/26/2009	няма	548	УП0101ВЕ0000/ЕЛ/301012/291112/000548	Енерго-Про Продажби АД
”УП България 3” ЕООД	200310798	Столична	София	ВтЕЦ ”Камен бряг Юг - 1”	Каварна	с. Камен бряг	3.0	7/26/2009	няма	863	УП0301ВЕ0000/ЕЛ/291211/300112/000863	Е. ОН  България Продажби АД
”УП България 3” ЕООД	200310798	Столична	София	ВтЕЦ ”Камен бряг Юг - 1”	Каварна	с. Камен бряг	3.0	7/26/2009	няма	802	УП0301ВЕ0000/ЕЛ/300112/280212/000802	Е. ОН  България Продажби АД
”УП България 3” ЕООД	200310798	Столична	София	ВтЕЦ ”Камен бряг Юг - 1”	Каварна	с. Камен бряг	3.0	7/26/2009	няма	489	УП0301ВЕ0000/ЕЛ/280212/290312/000489	Е. ОН  България Продажби АД
”УП България 3” ЕООД	200310798	Столична	София	ВтЕЦ ”Камен бряг Юг - 1”	Каварна	с. Камен бряг	3.0	7/26/2009	няма	753	УП0301ВЕ0000/ЕЛ/290312/260412/000753	Е. ОН  България Продажби АД
”УП България 3” ЕООД	200310798	Столична	София	ВтЕЦ ”Камен бряг Юг - 1”	Каварна	с. Камен бряг	3.0	7/26/2009	няма	404	УП0301ВЕ0000/ЕЛ/260412/300512/000404	Е. ОН  България Продажби АД
”УП България 3” ЕООД	200310798	Столична	София	ВтЕЦ ”Камен бряг Юг - 1”	Каварна	с. Камен бряг	3.0	7/26/2009	няма	252	УП0301ВЕ0000/ЕЛ/300512/010712/000252	Е. ОН  България Продажби АД
”УП България 3” ЕООД	200310798	Столична	София	ВтЕЦ ”Камен бряг Юг - 1”	Каварна	с. Камен бряг	3.0	7/26/2009	няма	340	УП0301ВЕ0000/ЕЛ/010712/300712/000340	Е. ОН  България Продажби АД
”УП България 3” ЕООД	200310798	Столична	София	ВтЕЦ ”Камен бряг Юг - 1”	Каварна	с. Камен бряг	3.0	7/26/2009	няма	441	УП0301ВЕ0000/ЕЛ/300712/300812/000441	Е. ОН  България Продажби АД
”УП България 3” ЕООД	200310798	Столична	София	ВтЕЦ ”Камен бряг Юг - 1”	Каварна	с. Камен бряг	3.0	7/26/2009	няма	378	УП0301ВЕ0000/ЕЛ/300812/270912/000378	Енерго-Про Продажби АД
”УП България 3” ЕООД	200310798	Столична	София	ВтЕЦ ”Камен бряг Юг - 1”	Каварна	с. Камен бряг	3.0	7/26/2009	няма	554	УП0301ВЕ0000/ЕЛ/270912/301012/000554	Енерго-Про Продажби АД
”УП България 3” ЕООД	200310798	Столична	София	ВтЕЦ ”Камен бряг Юг - 1”	Каварна	с. Камен бряг	3.0	7/26/2009	няма	544	УП0301ВЕ0000/ЕЛ/301012/291112/000544	Енерго-Про Продажби АД
”УП България 6” ЕООД	200310517	Столична	София	ВтЕЦ ”Камен бряг Север - 2”	Каварна	с. Камен бряг	3.0	8/26/2009	няма	770	УП0601ВЕ0000/ЕЛ/291211/300112/000770	Е. ОН  България Продажби АД
”УП България 6” ЕООД	200310517	Столична	София	ВтЕЦ ”Камен бряг Север - 2”	Каварна	с. Камен бряг	3.0	8/26/2009	няма	805	УП0601ВЕ0000/ЕЛ/300112/280212/000805	Е. ОН  България Продажби АД
”УП България 6” ЕООД	200310517	Столична	София	ВтЕЦ ”Камен бряг Север - 2”	Каварна	с. Камен бряг	3.0	8/26/2009	няма	556	УП0601ВЕ0000/ЕЛ/280212/290312/000556	Е. ОН  България Продажби АД
”УП България 6” ЕООД	200310517	Столична	София	ВтЕЦ ”Камен бряг Север - 2”	Каварна	с. Камен бряг	3.0	8/26/2009	няма	775	УП0601ВЕ0000/ЕЛ/290312/260412/000775	Е. ОН  България Продажби АД
